date,daily_average_title_positive_sentiment,daily_average_title_negative_sentiment,daily_average_title_neutral_sentiment,daily_average_body_positive_sentiment,daily_average_body_negative_sentiment,daily_average_body_neutral_sentiment,volume_of_posts
2021-01-28,0.08254051796157068,0.08781620718462821,0.824632414369256,0.055070175438596526,0.052229741019214744,0.46160401002506235,1197
2021-01-29,0.0797291958710338,0.08832687651331733,0.8289496622913187,0.05480916273735191,0.05230425640372133,0.46329425258060414,15694
2021-01-30,0.09792626404494373,0.07918188202247198,0.820786516853933,0.053763342696629204,0.03695926966292135,0.3636221910112362,1424
2021-01-31,0.10001064962726297,0.07796485623003191,0.8198913738019172,0.05365921192758256,0.03953887113951011,0.3594100106496278,939
2021-02-01,0.10511877828054299,0.07522737556561086,0.8151244343891393,0.04221719457013576,0.02727488687782803,0.2913563348416288,884
2021-02-02,0.11460119840213044,0.09517509986684425,0.7795699067909445,0.026101864181091877,0.01942276964047936,0.1874960053262317,1502
2021-02-03,0.11295913734392737,0.09028036322360952,0.7899515701853944,0.02998864926220206,0.021253878168747627,0.20339046538024994,2643
2021-02-04,0.11125613405146634,0.07341172950329149,0.8117402752842613,0.06089168162776786,0.043509874326750464,0.4042794733692404,1671
2021-02-05,0.1072163202463433,0.08629522709776755,0.8007143956889913,0.07438876058506548,0.05987644341801389,0.5012247882986918,2598
2021-02-06,0.10180186313149406,0.07995485489072031,0.8135886778932284,0.060293443210318966,0.04199390899319244,0.4297792905768538,2791
2021-02-07,0.12278277886497067,0.07374755381604695,0.8015088062622311,0.05062035225048927,0.03175538160469669,0.33251467710371796,511
2021-02-08,0.11951567944250872,0.06296167247386761,0.8070662020905925,0.055289198606271794,0.03281533101045297,0.35437979094076677,287
2021-02-09,0.11250675675675675,0.060175675675675666,0.8273175675675676,0.09420270270270274,0.05618918918918922,0.5928581081081082,148
2021-02-10,0.08542342342342345,0.062972972972973,0.8516036036036033,0.09229729729729728,0.0543873873873874,0.592108108108108,222
2021-02-11,0.09041420118343195,0.03238461538461539,0.8712840236686388,0.09318934911242605,0.04152071005917161,0.6049289940828404,169
2021-02-12,0.1110614525139665,0.07358659217877096,0.8153575418994412,0.09766480446927375,0.05402234636871505,0.6472402234636869,179
2021-02-13,0.10565745856353588,0.07961878453038673,0.8147127071823206,0.08695580110497239,0.05460220994475137,0.6153756906077349,181
2021-02-14,0.11755118110236215,0.06709448818897638,0.8153464566929134,0.10064566929133854,0.05411023622047246,0.7271732283464566,127
2021-02-15,0.1293230769230769,0.044338461538461535,0.8263538461538461,0.12021538461538464,0.05292307692307694,0.6423384615384615,65
2021-02-16,0.14907777777777775,0.0473888888888889,0.8035222222222221,0.1016,0.04605555555555556,0.607811111111111,90
2020-09-29,0.0,0.21600000000000003,0.784,0.163,0.015,0.8220000000000001,1
2021-02-17,0.12969005847953216,0.07178362573099414,0.7985380116959062,0.06545029239766083,0.03109356725146198,0.41808187134502917,171
2021-02-18,0.11942857142857143,0.07096734693877553,0.8096040816326527,0.04378367346938775,0.018400000000000007,0.27252653061224485,245
2021-02-19,0.13018155619596536,0.0705158501440922,0.7964265129682999,0.038585014409221914,0.022766570605187324,0.24991354466858792,347
2021-02-20,0.1306951219512195,0.06545528455284554,0.8038536585365854,0.035191056910569105,0.017646341463414632,0.2601666666666666,246
